REF_DATE,GEO,DGUID,Age group,Sex,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2014,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3872,A,,,0
2015,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,3955,A,,,0
2016,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,4010,A,,,0
2017,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,4073,A,,,0
2018,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,4146,A,,,0
2019,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,4209,A,,,0
2020,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,4256,A,,,0
2021,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,4347,A,,,0
2022,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,4455,A,,,0
2023,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107682454,13.1.1.1.1,4594,A,,,0
2000,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3045,A,,,0
2001,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3091,A,,,0
2002,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3162,A,,,0
2003,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3186,A,,,0
2004,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3254,A,,,0
2005,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3345,A,,,0
2006,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3326,A,,,0
2007,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3403,A,,,0
2008,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3513,A,,,0
2009,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3506,A,,,0
2010,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3548,A,,,0
2011,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3575,A,,,0
2012,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3644,A,,,0
2013,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3737,A,,,0
2014,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3798,A,,,0
2015,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3862,A,,,0
2016,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3920,A,,,0
